place,Count_Person,Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Median_Age_Person,Median_Income_Household,Percent_Person_WithAsthma,Percent_Person_WithHighBloodPressure
zip/21770,8751.0,3343.0,39.8,183571.0,9.3,29.7
zip/20732,10722.0,3385.0,43.7,140304.0,10.9,34.2
zip/21654,1179.0,698.0,68.7,82772.0,10.4,44.7
zip/21649,1890.0,159.0,36.1,68542.0,11.3,35.5
zip/21227,34907.0,7002.0,36.2,85986.0,11.3,32.9
zip/20876,26406.0,8922.0,36.8,119731.0,9.7,28.5
zip/21222,59407.0,5991.0,36.4,64141.0,12.4,37.2
zip/21013,5610.0,2133.0,40.7,171354.0,10.4,34.0
zip/21835,312.0,26.0,60.8,47083.0,11.5,36.6
zip/20755,11225.0,2824.0,25.1,103261.0,11.2,20.6
zip/21237,31425.0,6193.0,41.8,91693.0,11.3,35.7
zip/21146,28591.0,11441.0,41.5,172122.0,10.3,32.8
zip/20785,40066.0,7901.0,36.2,85994.0,11.7,38.8
zip/20706,42612.0,9712.0,38.0,104523.0,11.0,38.5
zip/21163,7539.0,3231.0,45.4,134672.0,9.7,34.6
zip/21638,5420.0,1735.0,42.3,140086.0,10.9,40.2
zip/21012,22570.0,8790.0,38.0,139432.0,10.4,31.2
zip/21672,161.0,4.0,60.6,83269.0,12.2,40.5
zip/21779,1311.0,319.0,41.8,80743.0,11.7,36.8
zip/21045,40034.0,15855.0,39.6,118563.0,10.6,32.0
zip/21650,265.0,35.0,39.0,92000.0,10.4,36.6
zip/20743,41093.0,6523.0,37.3,76466.0,11.9,43.0
zip/20832,25553.0,10735.0,41.0,168524.0,9.4,29.7
zip/21648,172.0,16.0,61.4,137500.0,11.4,41.3
zip/20748,40338.0,8703.0,41.2,83162.0,11.8,43.1
zip/21619,6152.0,1799.0,47.2,107639.0,11.0,41.0
zip/21403,32681.0,13713.0,45.3,123329.0,10.5,34.5
zip/21842,11226.0,3634.0,53.4,79876.0,10.7,41.5
zip/21104,6052.0,2767.0,43.1,191804.0,9.7,33.8
zip/20853,31851.0,11109.0,41.8,159080.0,9.6,30.3
zip/21133,31398.0,7710.0,47.1,80480.0,12.4,44.1
zip/20740,36847.0,8832.0,23.5,77317.0,10.8,22.2
zip/21236,39514.0,11122.0,38.4,95149.0,10.7,34.0
zip/20879,25264.0,7738.0,36.4,112104.0,10.0,29.3
zip/21286,21853.0,8876.0,39.6,93808.0,10.5,34.7
zip/21662,546.0,225.0,46.5,137404.0,9.8,39.9
zip/21794,2192.0,947.0,43.4,231466.0,9.6,30.0
zip/20852,48180.0,26412.0,38.5,122472.0,9.3,27.0
zip/20747,38301.0,6930.0,39.5,76298.0,12.2,42.7
zip/21046,15608.0,6312.0,37.3,127813.0,10.7,30.4
zip/20689,1809.0,401.0,48.1,161833.0,10.8,39.0
zip/20778,2211.0,716.0,47.7,205974.0,10.6,36.2
zip/20746,27156.0,5542.0,43.1,79330.0,11.9,40.0
